title,genre,release,rated,value,budget,opening,domestic,worldwide,ratio,zrating,zbudget,zopening,ztotal,compound,tweet_count
#T2Trainspotting,Drama,20170317,R,73.0,18000000,170575,2402004,42074024,0.009476388888888888,0.7213629264358697,-0.5576912828120464,-0.5834868212801614,-0.05566311004761049,0.33227352941176475,34
#TheBeguiled,Western,20170623,R,73.0,10500000,229292,10576669,28039038,0.02183733333333333,0.7213629264358697,-0.6845560909819256,-0.5817659799592363,1.057008208868805,0.14976842105263155,19
#BandAid,Comedy,20170602,R,73.33,10000000,29013,248370,248370,0.0029013000000000003,0.7377274841162434,-0.6930137448599176,-0.5876356323412305,-0.8404275254261351,0.2776795454545455,88
#TheFounder,Drama,20170120,PG-13,73.67,15000000,3404102,12786243,18301418,0.2269401333333333,0.7545879374839014,-0.6084372060799981,-0.4887206228380258,21.862722819061183,0.003995999999999995,25
#AlltheMoneyintheWorld,Thriller/Suspense,20171221,R,73.67,50000000,5584684,25076269,53733187,0.11169368,0.7545879374839014,-0.016401434620561834,-0.4248134816478181,11.057927539567704,0.046417647058823536,51
#Ballerina,Adventure,20170825,,74.0,30000000,4730038,21858070,96923070,0.15766793333333334,0.7709524951642751,-0.3547075897402397,-0.4498609151264245,15.28331640850452,0.344562,100
#GameNight,Comedy,20180223,R,74.0,37000000,17005332,45004023,69608622,0.4596035675675676,0.7709524951642751,-0.23630043544835244,-0.09010423236498293,46.31480035174272,0.33770289855072466,69
#AmericanMade,Thriller/Suspense,20170929,R,74.33,50000000,16776390,51342000,135581390,0.3355278,0.7873170528446488,-0.016401434620561834,-0.09681392212595888,34.130067773972165,0.07851000000000001,100
#GirlsTrip,Comedy,20170721,R,74.67,28000000,31201920,115108515,140798808,1.1143542857142856,0.8041775062123068,-0.3885382052522075,0.3259605401293368,112.5029889526473,0.25135900000000005,100
#BattleoftheSexes,Drama,20170922,PG-13,75.33,25000000,518332,12638526,17826663,0.02073328,0.8369066215730542,-0.4392841285201592,-0.5732949753881551,1.324360542276585,0.8278700000000001,100
#GuardiansoftheGalaxyVol2,Action,20170505,PG-13,75.67,200000000,146510104,389813101,863197744,0.73255052,0.8537670749407121,2.5208947287770225,3.705341088659248,84.04039598103624,0.5596479999999999,100
#It,Horror,20170908,R,76.33,35000000,123403419,327481748,697459228,3.5258119714285714,0.8864961903014595,-0.27013105096032025,3.028144734322353,359.25385175084295,0.25711194029850754,67
#Wonder,Drama,20171117,PG,77.0,20000000,27547866,132221523,295514690,1.3773933,0.9197212013494912,-0.5238606673000786,0.21886979788958466,138.57293012982856,0.38543099999999997,100
#TheirFinest,Comedy,20170406,R,78.0,11795877,76197,3603484,12276852,0.006459629919844027,0.9693107700778965,-0.6626359327130245,-0.5862527930121345,-0.2198677566749944,0.5396500000000001,6
#DarkestHour,Drama,20171122,PG-13,78.33,30000000,175006,56088295,142488295,0.005833533333333332,0.9856753277582702,-0.3547075897402397,-0.5833569602877228,0.04760715077591826,0.211052,100
#Detroit,Drama,20170728,R,78.33,34000000,350190,16790139,21545532,0.010299705882352942,0.9856753277582702,-0.2870463587163041,-0.5782227765595872,0.5721540041580857,-0.066467,100
#OnlytheBrave,Drama,20171020,PG-13,78.67,38000000,6002665,18340051,21049847,0.15796486842105262,1.002535781125928,-0.21938512769236854,-0.4125635544348887,15.754510386669045,0.6307290000000001,100
#Stronger,Drama,20170922,R,79.0,30000000,1611040,4211129,5003992,0.05370133333333333,1.0189003388063018,-0.3547075897402397,-0.5412705688601411,4.951784944679113,0.11651029411764707,68
#AMonsterCalls,Drama,20170106,PG-13,79.0,43000000,30909,3740823,46422066,0.0007188139534883721,1.0189003388063018,-0.1348085889124491,-0.5875800655523198,-0.2191869858619496,0.25408214285714287,56
#WindRiver,Thriller/Suspense,20170803,R,79.33,11000000,161558,33800859,40352966,0.01468709090909091,1.0352648964866755,-0.6760984371039337,-0.5837510859086469,0.6603733784745388,0.284947,100
#JohnWickChapter2,Action,20170210,R,79.67,40000000,30436123,92029184,171529184,0.760903075,1.0521253498543337,-0.1855545121804008,0.30351703788909196,77.56391241345213,0.06682727272727272,11
#TheLegoBatmanMovie,Adventure,20170210,PG,79.67,80000000,53003468,175750384,310940997,0.66254335,1.0521253498543337,0.491057798058955,0.964906750912096,69.72733164973748,-0.10757058823529411,17
